Section_Name,Score,Section,Horizon,Height,Holcacephalus tenerus,Modocia cf.oweni,Bolaspidella wellsvillensis,Bolaspidella burnetensis,Cedarina cordilleras,Kormagnostus simplex,Cedarina eurycheilos,Modocia cf.centralis,Meteoraspis cf.robusta,Syspacheilus cf.camurus,Genevievella cf.spinosa,Apsotreta orifera,Coosella beltensis,Kinsabia varigata,Coosella granulosa,Coosia connata,Sponge spicule B,Pseudagnostus? nordicus,Norwoodia quadrangularis,Arcuolimbus convexus,Opisthotreta depressa,Tricrepicephalus coria,Tricrepicephalus texanus,Sponge spicule A,Sponge spicule C,Kingstonia pontotocensis,Llanoaspis virginica,Llanoaspis modesta,Metoeraspis metra,Coosella cf.widnerensis,Coosia cf.albertensis,Crepicephalus australis,Llanoaspis undulata,Llanoaspis undulata granulata,Maryvillia cf.ariston,Meteoraspis cf.loisi,Pemphigaspis inexpectans,Crepicephalus perplexus,Llanoaspis peculiaris,Crepicephalus cf.iowensis,Cheilocephalus breviloba,Aphelaspis walcotti,Dictyonina perforata,Aphelaspis spinosa,Raaschella ornata,Cheilocephalus minutus,Geragnostus cf.tumidosus,Aphelaspis constricta,Aphelaspis longifrons,Dunderbergia variagranula,Dytremacephalus laevis,Labiostria platifrons,Labiostria conveximarginata,Pseudagnostus communis,Angulotreta triangularis,Pseudagnostus josephus,Angulotreta triangularis digitalis,Dytremacephalus granulosus,Apsotreta expansus,Labiostria sigmoidalis,Dysoristus lochmanae,Dieracephalus aster
White_Creek,0.010804306,2,1,1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.17552167,2,2,2,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.227031866,2,3,3,-1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.339803215,2,4,4,-1,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.364914724,2,5,5,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.365825467,2,6,6,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,-1,1,1,0,-1,-1,1,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.422875274,2,7,7,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,0,-1,-1,1,0,1,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.447705291,2,8,8,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,1,-1,0,1,1,-1,-1,1,1,1,-1,0,1,1,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.544183842,2,9,9,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,0,-1,-1,1,1,1,-1,0,1,0,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
White_Creek,0.572848274,2,10,10,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,0,0,-1,0,1,0,-1,-1,1,1,1,-1,0,1,0,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1
